name      ,alt_name_1   ,ra        ,dec      ,morph_type,log_d25,log_ae,phot_mag,surf_brtness_d25,h_21cm_w20,radial_velocity_gsr,class            
NGC 6146  ,UGC 10379    ,16 25 10.4,+40 53 38,.E?....   ,1.11,0.69,13.65,13.79,          ,8938,ELLIPTICAL GALAXY
NGC 388   ,MCG 5-3-59   ,01 07 46.4,+32 18 35,.E.3.*.   ,0.97,0.52,15.06,15.07,          ,5266,ELLIPTICAL GALAXY
NGC 375   ,             ,01 07 06.1,+32 20 50,.E.2.*.   ,1.15,      ,        ,15.92,          ,6163,ELLIPTICAL GALAXY
NGC 426   ,UGC 760      ,01 12 49.0,-00 17 28,.E+....   ,1.14,      ,13.99,14.15,          ,5331,ELLIPTICAL GALAXY
NGC 6160  ,UGC 10400    ,16 27 41.2,+40 55 37,.E.....   ,1.26,      ,14.2,                ,          ,9503,ELLIPTICAL GALAXY
          ,UGC 411      ,00 39 29.9,+25 38 39,.E?....   ,1.08,      ,14.2,                ,          ,4767,ELLIPTICAL GALAXY
NGC 386   ,MCG 5-3-57   ,01 07 30.8,+32 21 44,.E.3.*.   ,0.97,      ,14.98,14.99,          ,5707,ELLIPTICAL GALAXY
NGC 430   ,UGC 765      ,01 12 59.4,-00 15 08,.E...*.   ,1.12,      ,13.36,13.87,          ,5350,ELLIPTICAL GALAXY
A 1623+41 ,             ,16 24 39.5,+41 01 12,.E.2...   ,0.62,      ,        ,                ,          ,8249,ELLIPTICAL GALAXY
A 0034+25 ,UGC 367      ,00 37 00.0,+25 41 00,.E?....   ,1.23,      ,14.89,                ,          ,9774,ELLIPTICAL GALAXY
          ,UGC 10410    ,16 29 00.0,+25 42 00,.E...*.   ,1,      ,14.85,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1407  ,ESO 548-67   ,03 40 12.4,-18 34 52,.E.0...   ,1.66,1.37,11.02,13.9,          ,1678,ELLIPTICAL GALAXY
NGC 382   ,UGC 688      ,01 07 24.5,+32 24 13,.E...*.   ,0.82,      ,14.22,                ,          ,5369,ELLIPTICAL GALAXY
NGC 4044  ,UGC 7018     ,12 02 29.5,-00 12 47,.E+..*.   ,1.09,      ,13.97,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3325  ,UGC 5795     ,10 39 20.3,-00 11 54,.E...*.   ,1.1,      ,13.67,                ,          ,5531,ELLIPTICAL GALAXY
          ,UGC 1914     ,02 27 25.7,+41 03 35,.E.....   ,1.08,      ,14.65,                ,          ,5499,ELLIPTICAL GALAXY
          ,UGC 2656     ,03 18 48.0,+41 04 00,.E.....   ,1,      ,        ,                ,          ,5588,ELLIPTICAL GALAXY
NGC 235A  ,ESO 474-17   ,00 42 53.5,-23 32 40,.E.0.?P   ,0.55,      ,13.94,                ,          ,6807,ELLIPTICAL GALAXY
          ,UGC 12242    ,22 54 25.6,+32 27 10,.E...*.   ,1.11,0.6,14.11,14.69,          ,6737,ELLIPTICAL GALAXY
NGC 1066  ,UGC 2203     ,02 43 50.0,+32 28 30,.E...*.   ,1.23,      ,14.25,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 6363  ,UGC 10827    ,17 22 40.1,+41 06 08,.E.....   ,1.04,      ,14.25,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4494  ,UGC 7662     ,12 31 24.3,+25 46 25,.E.1+..   ,1.68,1.21,10.55,13.74,          ,1316,ELLIPTICAL GALAXY
NGC 5582  ,UGC 9188     ,14 20 43.5,+39 41 35,.E.....   ,1.45,1.04,12.69,14.2,          ,                   ,ELLIPTICAL GALAXY
NGC 3305  ,ESO 501-30   ,10 36 12.5,-27 09 46,.E.0...   ,1.05,0.56,13.85,13.96,          ,3783,ELLIPTICAL GALAXY
IC 4289   ,ESO 509-67   ,13 34 48.3,-27 07 38,.E?....   ,1.02,      ,14.29,                ,          ,10270,ELLIPTICAL GALAXY
IC 1161   ,MCG 3-41-36  ,16 01 12.0,+15 38 00,.E.....   ,0.9,      ,14.82,                ,          ,10941,ELLIPTICAL GALAXY
          ,ESO 552-52   ,05 02 00.8,-21 08 14,.E?....   ,0.99,0.7,14.03,13.5,          ,4446,ELLIPTICAL GALAXY
A 0038-21 ,ESO 540-14   ,00 41 12.3,-21 07 57,.E+..P?   ,0.76,      ,15,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 2839  ,MCG 6-21-23  ,09 20 36.3,+33 39 02,.E?....   ,       ,      ,15.22,                ,          ,7908,ELLIPTICAL GALAXY
A 1652+39 ,UGC 10599    ,16 53 52.3,+39 45 19,.E?....   ,1.08,0.06,13.6,14.35,          ,10261,ELLIPTICAL GALAXY
IC 2597   ,ESO 501-58   ,10 37 47.7,-27 04 55,.E+4...   ,1.41,0.85,12.74,14.47,          ,2803,ELLIPTICAL GALAXY
          ,MCG 3-41-123 ,16 06 25.5,+15 41 09,.E+0...   ,1.12,      ,        ,                ,          ,12153,ELLIPTICAL GALAXY
          ,UGC 3812     ,07 22 19.1,+49 17 37,.E.....   ,0.85,      ,14.36,                ,          ,6417,ELLIPTICAL GALAXY
          ,MCG 8-36-16  ,20 02 50.0,+49 19 12,.E?....   ,       ,      ,14.7,                ,          ,7301,ELLIPTICAL GALAXY
NGC 564   ,UGC 1044     ,01 27 48.3,-01 52 46,.E.....   ,1.14,0.85,13.46,14.08,          ,5842,ELLIPTICAL GALAXY
NGC 5966  ,UGC 9923     ,15 35 53.3,+39 46 11,.E.....   ,1.26,0.99,13.61,13.88,          ,4656,ELLIPTICAL GALAXY
NGC 3078  ,ESO 499-27   ,09 58 24.5,-26 55 34,.E.2+..   ,1.4,0.88,12.18,13.93,          ,2283,ELLIPTICAL GALAXY
NGC 1521  ,ESO 550-11   ,04 08 19.0,-21 03 06,.E.3.*.   ,1.44,0.93,12.36,14.05,          ,4066,ELLIPTICAL GALAXY
NGC 2831  ,MCG 6-21-13  ,09 19 46.1,+33 44 38,.E.0...   ,1.14,      ,        ,                ,          ,5083,ELLIPTICAL GALAXY
NGC 2832  ,MCG 6-21-15  ,09 19 46.5,+33 45 02,.E+2.*.   ,1.37,0.93,12.21,14.49,          ,6836,ELLIPTICAL GALAXY
          ,MCG 3-41-108 ,16 05 42.0,+15 46 00,.E+....   ,0.98,      ,14.73,                ,          ,12542,ELLIPTICAL GALAXY
          ,MCG -3-34-80 ,13 28 07.7,-20 58 04,.E+2.P.   ,1.2,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 1443   ,ESO 602-5    ,22 19 03.9,-20 56 26,.E.2.*.   ,1.17,      ,13.46,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 12-75   ,11 45 09.7,-01 45 46,.E+....   ,       ,      ,15.2,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 11-110  ,11 29 27.5,-01 44 50,.E.....   ,       ,      ,15.3,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 2476  ,UGC 4106     ,07 56 45.6,+39 55 44,.E...?.   ,1.15,0.59,13.39,13.73,          ,3724,ELLIPTICAL GALAXY
          ,UGC 10512    ,16 41 42.0,+39 59 00,.E.....   ,1.04,      ,        ,                ,          ,9783,ELLIPTICAL GALAXY
NGC 5061  ,ESO 508-38   ,13 18 04.9,-26 50 10,.E.0...   ,1.55,0.94,11.37,13.82,          ,1897,ELLIPTICAL GALAXY
          ,ESO 484-28   ,04 29 59.5,-26 50 08,.E?....   ,0.9,      ,14.5,13.46,          ,3904,ELLIPTICAL GALAXY
          ,ESO 507-46   ,12 55 44.7,-26 48 32,.E.2.*.   ,1.06,      ,13.93,                ,          ,4455,ELLIPTICAL GALAXY
IC 471    ,UGC 3982     ,07 43 36.6,+49 40 00,.E.....   ,0.78,      ,14.3,                ,          ,5554,ELLIPTICAL GALAXY
A 0432-01 ,             ,04 35 12.0,-01 43 00,CE...P?   ,0.54,      ,        ,                ,          ,9659,ELLIPTICAL GALAXY
NGC 3585  ,ESO 502-25   ,11 13 16.9,-26 45 20,.E.6...   ,1.67,1.08,11.07,13.58,          ,1206,ELLIPTICAL GALAXY
          ,ESO 569-1    ,10 44 09.5,-20 48 10,.E?....   ,0.79,      ,14.59,13.68,          ,3463,ELLIPTICAL GALAXY
          ,CGCG 11-107  ,11 29 06.0,-01 42 00,.E.....   ,       ,      ,15.4,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7318A ,UGC 12099    ,22 35 56.8,+33 57 59,.E.2.P.   ,0.93,      ,14.61,13.99,          ,6876,ELLIPTICAL GALAXY
          ,CGCG 11-96   ,11 26 40.7,-01 41 38,CE.....   ,       ,      ,14.84,                ,          ,                   ,ELLIPTICAL GALAXY
IC 725    ,CGCG 12-65   ,11 43 29.7,-01 40 03,.E...*.   ,       ,      ,14.9,                ,          ,                   ,ELLIPTICAL GALAXY
IC 754    ,UGC 6984     ,11 59 23.6,-01 39 09,.E+....   ,1.06,      ,14.05,                ,          ,                   ,ELLIPTICAL GALAXY
A 1600+16A,MCG 3-41-51  ,16 02 09.1,+15 53 17,.E.3...   ,0.9,      ,15.22,                ,          ,10244,ELLIPTICAL GALAXY
NGC 1650  ,MCG -3-13-1  ,04 45 11.7,-15 52 20,.E+....   ,1.36,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 989    ,UGC 9114     ,14 14 51.0,+03 07 51,.E.....   ,1.11,0.67,13.85,14.37,          ,7538,ELLIPTICAL GALAXY
          ,UGC 6239     ,11 11 58.6,+03 07 59,.E.....   ,0.96,      ,14.28,                ,          ,                   ,ELLIPTICAL GALAXY
IC 190    ,MCG 4-5-40   ,02 02 07.3,+23 32 59,.E?....   ,       ,      ,15.1,                ,          ,4871,ELLIPTICAL GALAXY
          ,UGC 2226     ,02 45 36.3,+42 09 27,.E.....   ,1.01,      ,15.1,                ,          ,4974,ELLIPTICAL GALAXY
NGC 2303  ,UGC 3603     ,06 56 18.0,+45 29 37,.E.....   ,1.18,      ,13.57,                ,          ,6284,ELLIPTICAL GALAXY
          ,CGCG 39-50   ,11 11 12.0,+03 11 00,.E+....   ,       ,      ,14.81,                ,          ,                   ,ELLIPTICAL GALAXY
IC 988    ,MCG 1-36-26  ,14 14 30.0,+03 11 00,.E?....   ,0.74,      ,15.12,                ,          ,8052,ELLIPTICAL GALAXY
NGC 3641  ,UGC 6370     ,11 21 08.7,+03 11 43,.E...P.   ,1.03,0.58,        ,14.26,          ,1664,ELLIPTICAL GALAXY
NGC 5173  ,UGC 8468     ,13 28 25.6,+46 35 33,.E.0.*.   ,1.25,      ,13.21,14.26,211,2504,ELLIPTICAL GALAXY
NGC 5017  ,MCG -3-34-16 ,13 12 54.5,-16 46 00,.E+..?.   ,1.25,0.51,13.08,14.36,          ,2399,ELLIPTICAL GALAXY
          ,UGC 6846     ,11 52 30.0,+23 36 00,.E...?.   ,1.01,0.71,14.36,13.99,          ,6809,ELLIPTICAL GALAXY
NGC 7712  ,UGC 12694    ,23 35 51.4,+23 37 08,.E?....   ,0.94,      ,13.74,                ,228,3254,ELLIPTICAL GALAXY
IC 301    ,UGC 2606     ,03 14 47.8,+42 13 21,.E.....   ,1.23,      ,14.2,                ,          ,6956,ELLIPTICAL GALAXY
NGC 6702  ,UGC 11354    ,18 46 57.8,+45 42 24,.E...*.   ,1.25,0.91,13.5,14.11,          ,4928,ELLIPTICAL GALAXY
NGC 1192  ,MCG -3-8-65  ,03 03 34.7,-15 40 45,.E...?.   ,0.82,      ,        ,13.74,          ,9454,ELLIPTICAL GALAXY
NGC 1199  ,MCG -3-8-67  ,03 03 38.5,-15 36 50,.E.3.*.   ,1.38,0.97,12.39,14.01,          ,2616,ELLIPTICAL GALAXY
NGC 1209  ,MCG -3-8-73  ,03 06 03.1,-15 36 42,.E.6.*.   ,1.38,0.79,12.2,13.51,          ,2561,ELLIPTICAL GALAXY
          ,UGC 6394     ,11 22 56.5,+34 06 42,.E...*.   ,1.04,      ,14.3,                ,          ,12893,ELLIPTICAL GALAXY
NGC 5198  ,UGC 8499     ,13 30 11.5,+46 40 16,.E.1+*.   ,1.32,0.93,12.79,14.09,          ,2591,ELLIPTICAL GALAXY
NGC 5796  ,MCG -3-38-39 ,14 59 24.1,-16 37 27,.E.0+..   ,1.39,0.8,12.6,14.31,          ,2915,ELLIPTICAL GALAXY
NGC 6619  ,UGC 11200    ,18 18 55.2,+23 39 23,.E...?.   ,1.08,      ,13.96,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 6623  ,UGC 11203    ,18 19 43.0,+23 42 34,.E.....   ,1.13,      ,        ,                ,          ,5021,ELLIPTICAL GALAXY
          ,UGC 10840    ,17 24 42.0,+23 44 00,.E.....   ,1.04,      ,14.37,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5638  ,UGC 9308     ,14 29 40.5,+03 14 04,.E.1...   ,1.43,0.97,12.14,14.15,159,1806,ELLIPTICAL GALAXY
NGC 3640  ,UGC 6368     ,11 21 06.8,+03 14 08,.E.3...   ,1.6,1.03,11.25,14.11,          ,1199,ELLIPTICAL GALAXY
NGC 5959  ,MCG -3-40-2  ,15 37 22.5,-16 35 46,.E+..*.   ,1.28,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 2006     ,02 32 39.9,+42 25 43,.E.....   ,0.93,      ,15.21,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 6076     ,11 00 09.3,+45 55 04,.E...?.   ,       ,      ,14.5,                ,          ,6441,ELLIPTICAL GALAXY
          ,CGCG 39-37   ,11 10 24.0,+03 15 00,.E.....   ,       ,      ,15,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5576  ,UGC 9183     ,14 21 04.2,+03 16 14,.E.3...   ,1.55,0.78,11.82,14.08,          ,1475,ELLIPTICAL GALAXY
          ,UGC 2844     ,03 44 58.5,+45 58 04,.E...*.   ,0.99,      ,14.84,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7340  ,MCG 6-49-52  ,22 37 44.3,+34 24 36,.E?....   ,0.95,      ,14.68,                ,          ,6613,ELLIPTICAL GALAXY
NGC 7149  ,UGC 11835    ,21 52 11.7,+03 18 02,.E.....   ,1.12,      ,14.15,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 38-122  ,11 06 04.7,+03 19 05,.E.....   ,       ,      ,14.71,                ,          ,                   ,ELLIPTICAL GALAXY
IC 260    ,UGC 2325     ,02 51 01.0,+46 57 16,.E...*.   ,1.15,      ,14.1,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 2924  ,MCG -3-25-8  ,09 35 10.9,-16 23 56,.E+..*.   ,1.14,      ,13,                ,          ,4389,ELLIPTICAL GALAXY
NGC 5044  ,MCG -3-34-34 ,13 15 24.0,-16 23 09,.E.0...   ,1.47,      ,11.83,                ,          ,2580,ELLIPTICAL GALAXY
NGC 5046  ,MCG -3-34-35 ,13 15 45.1,-16 19 38,.E...?.   ,0.92,0.94,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 1859     ,02 24 44.4,+42 37 23,.E?....   ,1.23,      ,13.9,                ,          ,6219,ELLIPTICAL GALAXY
NGC 5029  ,UGC 8293     ,13 12 38.2,+47 03 50,.E.....   ,1.23,      ,14.08,                ,          ,8827,ELLIPTICAL GALAXY
          ,UGC 10145    ,16 01 58.5,+47 05 48,.E.....   ,1,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3216  ,UGC 5593     ,10 21 36.0,+23 54 00,.E...*.   ,1.13,      ,14.36,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 6051  ,UGC 10178    ,16 04 54.0,+23 55 00,.E.....   ,1.12,0.73,14.34,14.37,          ,9660,ELLIPTICAL GALAXY
NGC 968   ,UGC 2040     ,02 34 06.3,+34 28 47,.E.....   ,1.56,      ,13.18,                ,          ,3747,ELLIPTICAL GALAXY
          ,ESO 574-17   ,12 40 35.0,-20 33 40,.E+....   ,0.87,      ,14.66,                ,          ,8441,ELLIPTICAL GALAXY
NGC 2456  ,UGC 4073     ,07 54 10.7,+55 29 39,.E.....   ,1.04,      ,14.13,                ,          ,7629,ELLIPTICAL GALAXY
NGC 1092  ,ESO 546-17   ,02 45 29.8,-17 32 31,.E...?.   ,0.97,      ,14.36,15.32,          ,8790,ELLIPTICAL GALAXY
          ,UGC 2222     ,02 45 09.9,+32 59 23,.E?....   ,1.08,      ,14.56,                ,          ,5039,ELLIPTICAL GALAXY
          ,UGC 1318     ,01 51 23.7,+33 01 52,.E...*.   ,0.96,      ,14.98,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 736   ,UGC 1414     ,01 56 41.1,+33 02 38,.E+..*.   ,1.19,0.83,13.35,14.04,          ,4501,ELLIPTICAL GALAXY
NGC 1370  ,ESO 548-48   ,03 35 14.8,-20 22 22,.E+..*.   ,1.19,      ,13.42,                ,          ,988,ELLIPTICAL GALAXY
NGC 2534  ,UGC 4268     ,08 12 53.1,+55 40 24,.E.1.$P   ,1.14,0.83,13.58,14.26,          ,3732,ELLIPTICAL GALAXY
          ,MCG 9-19-182 ,11 47 18.0,+55 45 00,.E?....   ,       ,0.45,        ,                ,          ,15537,ELLIPTICAL GALAXY
IC 1733   ,UGC 1301     ,01 50 43.0,+33 04 56,.E...*.   ,1.18,0.86,14.69,14.94,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 9-13-57  ,07 48 36.0,+55 49 00,.E?....   ,       ,      ,15.3,                ,          ,10729,ELLIPTICAL GALAXY
A 0325-17 ,ESO 548-23   ,03 28 14.3,-17 25 04,.E+..?.   ,1.02,      ,14.34,14,157,1793,ELLIPTICAL GALAXY
          ,             ,12 57 12.1,-17 24 33,.E+4...   ,1.27,      ,        ,                ,          ,14114,ELLIPTICAL GALAXY
NGC 4581  ,UGC 7801     ,12 38 05.0,+01 28 40,.E+....   ,1.29,      ,13.11,14.19,          ,1709,ELLIPTICAL GALAXY
          ,CGCG 11-78   ,11 21 36.0,+01 30 00,.E+..*.   ,       ,      ,15.4,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 410   ,UGC 735      ,01 10 58.4,+33 09 06,.E+..*.   ,1.38,1.06,12.5,13.79,          ,5447,ELLIPTICAL GALAXY
NGC 751   ,UGC 1431     ,01 57 32.9,+33 12 16,.E...P.   ,1.15,      ,        ,                ,          ,5290,ELLIPTICAL GALAXY
NGC 750   ,UGC 1430     ,01 57 32.8,+33 12 24,.E...P.   ,1.22,      ,12.89,                ,          ,5348,ELLIPTICAL GALAXY
NGC 5623  ,UGC 9260     ,14 27 08.6,+33 15 12,.E.....   ,1.2,      ,13.49,                ,          ,3534,ELLIPTICAL GALAXY
IC 662    ,CGCG 10-56   ,10 59 18.0,+01 35 00,.E.....   ,       ,      ,15.4,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5846A ,MCG 0-38-26  ,15 06 29.0,+01 35 43,CE.2+..   ,0.64,      ,        ,                ,          ,2255,ELLIPTICAL GALAXY
NGC 5846  ,UGC 9706     ,15 06 29.4,+01 36 25,.E.0+..   ,1.61,1.32,11.2,14,416,1793,ELLIPTICAL GALAXY
          ,CGCG 11-54   ,11 19 24.0,+01 37 00,.E.....   ,       ,      ,15.13,                ,          ,                   ,ELLIPTICAL GALAXY
IC 2623   ,ESO 569-33   ,11 03 50.8,-20 05 35,.E?....   ,0.89,      ,14.33,13.49,          ,3579,ELLIPTICAL GALAXY
          ,MCG -3-32-16 ,12 37 12.0,-20 02 00,.E+..*.   ,0.82,0.75,        ,12.97,          ,                   ,ELLIPTICAL GALAXY
NGC 508   ,UGC 939      ,01 23 40.6,+33 16 52,.E.0.*.   ,1.11,      ,14.08,                ,          ,5675,ELLIPTICAL GALAXY
NGC 4760  ,MCG -2-33-41 ,12 53 07.3,-10 29 40,.E.0.$.   ,1.3,1.13,12.4,                ,714,4642,ELLIPTICAL GALAXY
NGC 4742  ,MCG -2-33-32 ,12 51 48.1,-10 27 18,.E.4.*.   ,1.42,      ,11.9,13.57,          ,1176,ELLIPTICAL GALAXY
          ,UGC 761      ,01 13 12.0,+50 40 00,.E...?.   ,1.03,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5481  ,UGC 9029     ,14 06 41.6,+50 43 34,.E+....   ,1.25,      ,13.25,                ,          ,2176,ELLIPTICAL GALAXY
NGC 4240  ,MCG -2-31-29 ,12 17 24.3,-09 57 07,.E+..*.   ,1.09,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 1753   ,MCG 5-5-33   ,01 57 19.4,+28 35 24,.E?....   ,0.75,      ,14.95,                ,          ,10305,ELLIPTICAL GALAXY
IC 1479   ,MCG -2-59-10 ,23 18 46.4,-10 23 58,.E...*.   ,1.05,      ,        ,                ,          ,9968,ELLIPTICAL GALAXY
          ,UGC 2328     ,02 51 00.3,+37 27 58,.E.....   ,1.23,      ,13.46,                ,          ,5069,ELLIPTICAL GALAXY
NGC 6515  ,UGC 11071    ,17 57 24.9,+50 43 42,.E.....   ,1.2,      ,13.97,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4187  ,UGC 7229     ,12 13 29.3,+50 44 29,.E.....   ,1.1,      ,14.18,                ,          ,9207,ELLIPTICAL GALAXY
          ,UGC 577      ,00 56 18.0,+50 46 00,.E...?.   ,1.11,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 2261     ,02 48 17.5,+50 48 00,.E.....   ,1.23,      ,14.55,                ,          ,5039,ELLIPTICAL GALAXY
          ,             ,04 27 18.3,-10 19 05,.E?....   ,       ,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 661   ,UGC 1215     ,01 44 14.6,+28 42 20,.E+..*.   ,1.24,0.68,12.88,14.15,          ,3969,ELLIPTICAL GALAXY
NGC 3636  ,MCG -2-29-19 ,11 20 25.3,-10 16 55,.E.0...   ,1.13,      ,        ,14,          ,1561,ELLIPTICAL GALAXY
          ,MCG -2-13-6  ,04 47 20.8,-10 14 19,.E+..P.   ,1.05,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 1951     ,02 28 48.0,+37 43 00,.E...*.   ,1.08,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 278    ,UGC 2481     ,03 01 30.4,+37 45 57,.E...*.   ,1.23,      ,14.17,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 742   ,MCG 1-6-4    ,01 56 24.1,+05 37 35,CE.0.*.   ,0.3,      ,15.3,                ,          ,5465,ELLIPTICAL GALAXY
NGC 741   ,UGC 1413     ,01 56 20.9,+05 37 44,.E.0.*.   ,1.47,1.24,12.35,14.53,          ,5618,ELLIPTICAL GALAXY
A 1355+29B,MCG 5-33-29  ,13 57 18.0,+28 47 00,.E.4.$.   ,0.72,      ,        ,                ,          ,10948,ELLIPTICAL GALAXY
NGC 3265  ,UGC 5705     ,10 31 07.1,+28 47 48,.E...*.   ,1.11,      ,13.87,                ,          ,1403,ELLIPTICAL GALAXY
NGC 163   ,MCG -2-2-66  ,00 35 59.8,-10 07 19,.E.0...   ,1.19,0.85,        ,14.35,          ,                   ,ELLIPTICAL GALAXY
A 1212+06 ,MCG 1-31-30  ,12 15 18.9,+05 45 42,.E.0.P$   ,0.6,      ,        ,12.36,129,1939,ELLIPTICAL GALAXY
NGC 2694  ,MCG 9-15-56  ,08 56 58.6,+51 19 49,.E.1...   ,1.08,      ,14.7,15.77,          ,5160,ELLIPTICAL GALAXY
NGC 2693  ,UGC 4674     ,08 56 59.4,+51 20 51,.E.3.*.   ,1.42,0.83,12.58,14.54,          ,4923,ELLIPTICAL GALAXY
          ,UGC 11298    ,18 36 18.0,+51 28 00,.E.....   ,1.11,0.97,14.51,13.76,          ,                   ,ELLIPTICAL GALAXY
NGC 3771  ,MCG -1-30-18 ,11 39 06.0,-09 20 53,.E...*.   ,1.12,0.78,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 219    ,MCG -1-6-88  ,02 18 39.0,-06 54 16,.E...?.   ,1.08,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 584   ,MCG -1-4-60  ,01 31 20.9,-06 52 06,.E.4...   ,1.62,0.92,11.22,13.86,          ,1899,ELLIPTICAL GALAXY
NGC 4933B ,MCG -2-33-101,13 03 54.8,-11 30 20,.E...P.   ,0.98,      ,        ,                ,          ,3185,ELLIPTICAL GALAXY
NGC 1889  ,MCG -2-14-14 ,05 22 35.4,-11 29 49,.E+..P*   ,0.85,      ,        ,                ,          ,2356,ELLIPTICAL GALAXY
NGC 4786  ,MCG -1-33-46 ,12 54 32.6,-06 51 30,.E+..P.   ,1.21,0.88,12.53,13.35,          ,4518,ELLIPTICAL GALAXY
          ,MCG 6-33-20  ,15 04 32.8,+35 57 55,.E?....   ,       ,0.7,15,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 11990    ,22 20 30.1,+35 58 24,.E...*.   ,1,      ,15.11,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 185   ,UGC 396      ,00 38 58.0,+48 20 18,.E.3.P.   ,2.07,1.58,10.16,15.27,          ,-64,ELLIPTICAL GALAXY
          ,MCG 13-7-27  ,09 24 24.0,+76 32 00,.E?....   ,       ,      ,15.2,                ,          ,1675,ELLIPTICAL GALAXY
NGC 3862  ,UGC 6723     ,11 45 04.6,+19 36 26,.E.....   ,1.17,0.77,13.52,14.53,          ,6419,ELLIPTICAL GALAXY
NGC 147   ,UGC 326      ,00 33 11.6,+48 30 28,.E.5.P.   ,2.12,1.71,10.45,15.49,          ,28,ELLIPTICAL GALAXY
NGC 5500  ,UGC 9070     ,14 10 14.5,+48 32 48,.E.....   ,1,      ,14.28,                ,          ,2000,ELLIPTICAL GALAXY
          ,UGC 3431     ,06 19 22.2,+76 48 46,.E.....   ,1.26,      ,13.38,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 10012    ,15 45 00.0,+36 05 00,.E.....   ,1.04,      ,        ,                ,          ,19918,ELLIPTICAL GALAXY
          ,CGCG 40-44   ,11 47 54.1,+04 00 56,.E.....   ,       ,      ,15,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 3696     ,07 09 23.4,+48 38 07,.E?....   ,1,      ,13.81,                ,          ,6201,ELLIPTICAL GALAXY
NGC 5858  ,MCG -2-39-2  ,15 08 49.2,-11 12 28,.E.6.*.   ,1.17,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 9874     ,15 27 06.0,+77 09 00,.E.....   ,0.92,      ,14.6,                ,          ,5553,ELLIPTICAL GALAXY
          ,UGC 3021     ,04 21 54.0,+36 07 00,.E.....   ,1.04,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7274  ,UGC 12026    ,22 24 11.1,+36 07 32,.E.....   ,1.18,      ,13.77,                ,          ,6038,ELLIPTICAL GALAXY
          ,UGC 2398     ,02 56 34.7,+48 41 25,.E.....   ,1.08,      ,15.07,                ,          ,                   ,ELLIPTICAL GALAXY
IC 1156   ,MCG 3-41-25  ,16 00 36.0,+19 43 00,.E.....   ,0.99,0.62,14.52,14.24,          ,9574,ELLIPTICAL GALAXY
A 1834+19 ,MCG 3-47-8   ,18 36 36.0,+19 43 00,.E.0.?.   ,1.2,      ,13.4,                ,          ,4919,ELLIPTICAL GALAXY
          ,UGC 1543     ,02 03 14.8,+19 43 27,.E.....   ,1,      ,15.16,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 708   ,UGC 1348     ,01 52 46.4,+36 09 06,.E.....   ,1.48,1.41,13.7,                ,          ,4948,ELLIPTICAL GALAXY
          ,UGC 2788     ,03 34 47.5,+36 12 35,.E...?.   ,1.01,      ,15.2,                ,          ,                   ,ELLIPTICAL GALAXY
