name      ,alt_name_1   ,ra        ,dec      ,morph_type,log_d25,log_ae,phot_mag,surf_brtness_d25,h_21cm_w20,radial_velocity_gsr,class            
          ,UGC 12804    ,23 50 36.0,+24 34 00,.E.....   ,1,      ,15.11,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 349-1    ,23 51 30.8,-34 27 13,.E+1...   ,1.14,      ,14.32,                ,          ,17221,ELLIPTICAL GALAXY
Fornax    ,ESO 356-4    ,02 39 59.4,-34 26 57,dE.4...   ,2.23,      ,8.25,14.36,          ,-41,ELLIPTICAL GALAXY
NGC 7109  ,ESO 403-15   ,21 41 58.1,-34 26 42,.E...*.   ,0.92,      ,14.38,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 11294    ,18 36 36.0,+19 55 00,.E.0.$.   ,1.12,      ,14,13.97,          ,                   ,ELLIPTICAL GALAXY
NGC 6998  ,ESO 464-14   ,21 01 37.1,-28 01 53,.E.0...   ,0.88,      ,15.16,                ,          ,11728,ELLIPTICAL GALAXY
NGC 5028  ,MCG -2-34-11 ,13 13 45.9,-13 02 33,.E.6...   ,1.25,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3842  ,UGC 6704     ,11 44 02.0,+19 57 01,.E.....   ,1.15,1.1,13.41,13.16,          ,6164,ELLIPTICAL GALAXY
IC 5350   ,ESO 471-14   ,23 47 15.0,-27 57 26,.E?....   ,0.87,0.7,14.65,13.57,          ,8451,ELLIPTICAL GALAXY
NGC 3411  ,MCG -2-28-12 ,10 50 26.2,-12 50 44,.E+....   ,1.32,0.97,        ,14.5,          ,4245,ELLIPTICAL GALAXY
          ,ESO 385-17   ,14 23 03.1,-34 17 25,.E.4...   ,1.1,0.6,14.02,14.15,          ,                   ,ELLIPTICAL GALAXY
NGC 2970  ,MCG 5-23-30  ,09 43 30.3,+31 58 34,.E.1.*.   ,0.81,0.61,14.93,13.14,          ,1626,ELLIPTICAL GALAXY
          ,ESO 354-26   ,02 00 29.1,-34 15 19,.E.4...   ,1.07,      ,13.98,                ,          ,4805,ELLIPTICAL GALAXY
NGC 3087  ,ESO 374-15   ,09 59 08.8,-34 13 30,.E+..*.   ,1.39,0.79,12.77,14.39,          ,2452,ELLIPTICAL GALAXY
NGC 5077  ,MCG -2-34-27 ,13 19 31.7,-12 39 26,.E.3+..   ,1.29,0.88,12.2,13.57,          ,2732,ELLIPTICAL GALAXY
IC 1864   ,ESO 356-17   ,02 53 39.6,-34 11 49,.E?....   ,1.07,0.65,13.64,13.37,          ,4392,ELLIPTICAL GALAXY
NGC 3919  ,UGC 6810     ,11 50 41.7,+20 00 54,.E.....   ,0.95,      ,14.34,                ,          ,6119,ELLIPTICAL GALAXY
          ,ESO 462-15   ,20 23 13.5,-27 42 49,.E.3...   ,1.24,0.85,12.91,13.89,          ,5892,ELLIPTICAL GALAXY
NGC 3812  ,UGC 6648     ,11 41 07.8,+24 49 16,.E.....   ,1.23,      ,13.37,                ,          ,3598,ELLIPTICAL GALAXY
NGC 4782  ,MCG -2-33-50 ,12 54 35.8,-12 34 06,.E.0.P.   ,1.25,      ,12.69,                ,          ,3867,ELLIPTICAL GALAXY
NGC 4329  ,MCG -2-32-9  ,12 23 20.8,-12 33 31,.E+..*.   ,1.38,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4783  ,MCG -2-33-51 ,12 54 36.4,-12 33 29,.E.0.P.   ,1.26,0.87,12.54,                ,          ,4514,ELLIPTICAL GALAXY
NGC 5710  ,UGC 9440     ,14 39 16.6,+20 02 35,.E.....   ,1.08,0.78,13.93,14.35,          ,9108,ELLIPTICAL GALAXY
NGC 798   ,UGC 1539     ,02 03 19.6,+32 04 41,.E.....   ,1.08,      ,14.5,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5419  ,ESO 384-39   ,14 03 38.6,-33 58 41,.E.....   ,1.62,1.16,11.71,14.74,          ,3998,ELLIPTICAL GALAXY
